"","component","grpvar","term","grp","condval","condsd"
"cond.1","cond","variable","(Intercept)","ASV0001",2.99696438642717e-06,0.00304226685152708
"cond.2","cond","variable","(Intercept)","ASV0002",5.35539188954323e-06,0.00480617921269158
"cond.3","cond","variable","(Intercept)","ASV0003",1.9373292131908e-06,0.0023623683271899
"cond.4","cond","variable","(Intercept)","ASV0004",2.64337416796635e-06,0.00280245503068719
"cond.5","cond","variable","(Intercept)","ASV0005",3.02621693750556e-06,0.00306255059590887
"cond.6","cond","variable","(Intercept)","ASV0007",3.28830874518021e-06,0.00324689584426682
"cond.7","cond","variable","(Intercept)","ASV0008",2.50148395326407e-06,0.00270937436842472
"cond.8","cond","variable","(Intercept)","ASV0009",3.54971972169006e-06,0.00343490978682656
"cond.9","cond","variable","(Intercept)","ASV0010",2.42359519989304e-06,0.00265915615476908
"cond.10","cond","variable","(Intercept)","ASV0011",2.1109729906512e-06,0.00246471566130827
"cond.11","cond","variable","(Intercept)","ASV0012",3.05850240451809e-06,0.00308500869293815
"cond.12","cond","variable","(Intercept)","ASV0015",1.0975726302531e-06,0.00194670326935946
"cond.13","cond","variable","(Intercept)","ASV0016",2.09185737191473e-06,0.00245323478970507
"cond.14","cond","variable","(Intercept)","ASV0017",-7.47751619819495e-08,0.0017166680777378
"cond.15","cond","variable","(Intercept)","ASV0018",3.34670728430059e-07,0.00173831406231801
"cond.16","cond","variable","(Intercept)","ASV0020",1.4097895675802e-06,0.00208322609945641
"cond.17","cond","variable","(Intercept)","ASV0021",-9.13662594112291e-07,0.00187874940602172
"cond.18","cond","variable","(Intercept)","ASV0022",1.50798207124536e-06,0.00213100547152086
"cond.19","cond","variable","(Intercept)","ASV0023",-4.68357154666896e-07,0.00175988178585029
"cond.20","cond","variable","(Intercept)","ASV0024",1.62350470926854e-06,0.00218984612825942
"cond.21","cond","variable","(Intercept)","ASV0025",-4.177777788568e-07,0.00175090962124678
"cond.22","cond","variable","(Intercept)","ASV0027",5.59382699114336e-07,0.00177846300838716
"cond.23","cond","variable","(Intercept)","ASV0033",-8.50342730384151e-07,0.00185774039671672
"cond.24","cond","variable","(Intercept)","ASV0036",4.67316626623808e-07,0.00175968734120133
"cond.25","cond","variable","(Intercept)","ASV0037",2.29259354590575e-07,0.00172625558682175
"cond.26","cond","variable","(Intercept)","ASV0039",1.37384414112666e-07,0.00171938492562525
"cond.27","cond","variable","(Intercept)","ASV0040",-9.49613017342024e-07,0.0018912367600862
"cond.28","cond","variable","(Intercept)","ASV0042",1.22901205630396e-06,0.00200114269076752
"cond.29","cond","variable","(Intercept)","ASV0044",-3.62646170640844e-07,0.00174225313354897
"cond.30","cond","variable","(Intercept)","ASV0051",1.91751916745605e-06,0.00235098175086401
"cond.31","cond","variable","(Intercept)","ASV0054",1.47564669707309e-07,0.00171997765817245
"cond.32","cond","variable","(Intercept)","ASV0057",-2.82828959278248e-07,0.00173183079525133
"cond.33","cond","variable","(Intercept)","ASV0059",5.77841881774779e-07,0.00178260595334215
"cond.34","cond","variable","(Intercept)","ASV0063",7.72525272883313e-07,0.00183369703791625
"cond.35","cond","variable","(Intercept)","ASV0065",-4.39043818493236e-07,0.0017545627116202
"cond.36","cond","variable","(Intercept)","ASV0066",-2.69755517016903e-07,0.00173036433489543
"cond.37","cond","variable","(Intercept)","ASV0069",-5.04930076734959e-07,0.00176697499355738
"cond.38","cond","variable","(Intercept)","ASV0072",-5.40958319853392e-07,0.0017744528881
"cond.39","cond","variable","(Intercept)","ASV0073",-7.31277349507894e-08,0.00171661817117713
"cond.40","cond","variable","(Intercept)","ASV0079",-6.96093809136729e-07,0.00181205876706158
"cond.41","cond","variable","(Intercept)","ASV0080",-8.73308235122412e-09,0.00171553875601303
"cond.42","cond","variable","(Intercept)","ASV0082",9.52371405830466e-08,0.00171737999641003
"cond.43","cond","variable","(Intercept)","ASV0083",-9.06183380556041e-07,0.00187620184444106
"cond.44","cond","variable","(Intercept)","ASV0084",-2.10459273258916e-07,0.00172457204786971
"cond.45","cond","variable","(Intercept)","ASV0085",9.16302402042128e-07,0.00187965264613852
"cond.46","cond","variable","(Intercept)","ASV0089",-7.57244857105692e-07,0.00182921208253625
"cond.47","cond","variable","(Intercept)","ASV0091",-1.21722463853959e-06,0.00199607301270105
"cond.48","cond","variable","(Intercept)","ASV0093",-6.68075893656461e-07,0.00180463165907072
"cond.49","cond","variable","(Intercept)","ASV0094",-3.64162711002459e-07,0.0017424754063624
"cond.50","cond","variable","(Intercept)","ASV0095",-7.15615162015892e-07,0.00181739513939058
"cond.51","cond","variable","(Intercept)","ASV0101",-1.60309706506836e-07,0.00172077916370482
"cond.52","cond","variable","(Intercept)","ASV0102",-4.1403517563421e-07,0.00175028468938572
"cond.53","cond","variable","(Intercept)","ASV0105",-5.89550479153407e-07,0.00178529836623501
"cond.54","cond","variable","(Intercept)","ASV0111",1.84094042602819e-07,0.00172245109700703
"cond.55","cond","variable","(Intercept)","ASV0112",-9.63622279497353e-07,0.00189621031419277
"cond.56","cond","variable","(Intercept)","ASV0115",-3.43893843790667e-07,0.00173957880085763
"cond.57","cond","variable","(Intercept)","ASV0116",5.2265171055542e-07,0.00177059274516034
"cond.58","cond","variable","(Intercept)","ASV0119",-7.44722851221145e-07,0.0018255954922171
"cond.59","cond","variable","(Intercept)","ASV0123",-8.11136171418425e-07,0.00184537764745689
"cond.60","cond","variable","(Intercept)","ASV0128",-6.57908039743972e-07,0.00180200444112396
"cond.61","cond","variable","(Intercept)","ASV0139",-1.03443605974154e-06,0.00192225186081646
"cond.62","cond","variable","(Intercept)","ASV0145",-9.77655760952596e-07,0.00190125212059974
"cond.63","cond","variable","(Intercept)","ASV0146",-6.45541028317316e-07,0.00179885827991036
"cond.64","cond","variable","(Intercept)","ASV0152",-1.25029543864533e-06,0.00201038745777183
"cond.65","cond","variable","(Intercept)","ASV0155",-1.08611243667867e-06,0.00194218073939495
"cond.66","cond","variable","(Intercept)","ASV0167",-8.36752379367119e-07,0.0018533983381251
"cond.67","cond","variable","(Intercept)","ASV0175",-1.27092894573133e-06,0.00201945992079534
"cond.68","cond","variable","(Intercept)","ASV0180",-7.79126215208981e-07,0.00183565883668077
"cond.69","cond","variable","(Intercept)","ASV0184",-6.61349468478939e-07,0.00180288956541789
"cond.70","cond","variable:Microbe_treatment","(Intercept)","ASV0001:ALL",1.8920830333159,0.890938357781103
"cond.71","cond","variable:Microbe_treatment","(Intercept)","ASV0001:ECO",10.1831773694362,0.974822001107437
"cond.72","cond","variable:Microbe_treatment","(Intercept)","ASV0001:EMO",-3.48277151124237,1.05149626735348
"cond.73","cond","variable:Microbe_treatment","(Intercept)","ASV0001:MEM",-3.48075941531088,1.05125339394331
"cond.74","cond","variable:Microbe_treatment","(Intercept)","ASV0001:MMO",-0.53939353504332,1.15087737577187
"cond.75","cond","variable:Microbe_treatment","(Intercept)","ASV0002:ALL",-0.797329656892515,0.893675025648215
"cond.76","cond","variable:Microbe_treatment","(Intercept)","ASV0002:ECO",6.77163337126319,0.987173700482449
"cond.77","cond","variable:Microbe_treatment","(Intercept)","ASV0002:EMO",-0.638662711214348,0.890967412634448
"cond.78","cond","variable:Microbe_treatment","(Intercept)","ASV0002:MEM",-1.05513993932319,0.893884324266222
"cond.79","cond","variable:Microbe_treatment","(Intercept)","ASV0002:MMO",3.8899833524743,0.926803191495394
"cond.80","cond","variable:Microbe_treatment","(Intercept)","ASV0003:ALL",-0.303469234678107,0.959381888829254
"cond.81","cond","variable:Microbe_treatment","(Intercept)","ASV0003:ECO",-0.170180517033717,1.96437373848634
"cond.82","cond","variable:Microbe_treatment","(Intercept)","ASV0003:EMO",-3.5795561909681,1.22353599489704
"cond.83","cond","variable:Microbe_treatment","(Intercept)","ASV0003:MEM",0.451175206163687,0.944056092013008
"cond.84","cond","variable:Microbe_treatment","(Intercept)","ASV0003:MMO",6.55772818538821,0.955890771066138
"cond.85","cond","variable:Microbe_treatment","(Intercept)","ASV0004:ALL",2.21633106276306,0.927084629261583
"cond.86","cond","variable:Microbe_treatment","(Intercept)","ASV0004:ECO",-0.346298442274962,1.84478234837436
"cond.87","cond","variable:Microbe_treatment","(Intercept)","ASV0004:EMO",1.86979085886327,0.928756923772405
"cond.88","cond","variable:Microbe_treatment","(Intercept)","ASV0004:MEM",2.0347786671484,0.926820774452785
"cond.89","cond","variable:Microbe_treatment","(Intercept)","ASV0004:MMO",-1.74172315439284,1.41303383816372
"cond.90","cond","variable:Microbe_treatment","(Intercept)","ASV0005:ALL",2.42069593693323,0.932536550176443
"cond.91","cond","variable:Microbe_treatment","(Intercept)","ASV0005:ECO",-0.334634290145619,1.85191875301218
"cond.92","cond","variable:Microbe_treatment","(Intercept)","ASV0005:EMO",1.84737801591399,0.934310144169105
"cond.93","cond","variable:Microbe_treatment","(Intercept)","ASV0005:MEM",2.36932967119726,0.931181184346316
"cond.94","cond","variable:Microbe_treatment","(Intercept)","ASV0005:MMO",-1.685804070062,1.42329559181789
"cond.95","cond","variable:Microbe_treatment","(Intercept)","ASV0007:ALL",-0.1318534488584,0.925073879863714
"cond.96","cond","variable:Microbe_treatment","(Intercept)","ASV0007:ECO",-0.476184087236717,1.77308046295669
"cond.97","cond","variable:Microbe_treatment","(Intercept)","ASV0007:EMO",0.220529516548971,0.915313286758226
"cond.98","cond","variable:Microbe_treatment","(Intercept)","ASV0007:MEM",0.108395416409398,0.91802067278493
"cond.99","cond","variable:Microbe_treatment","(Intercept)","ASV0007:MMO",5.29593973972075,0.944424063934205
"cond.100","cond","variable:Microbe_treatment","(Intercept)","ASV0008:ALL",1.51573242250834,0.904627929004291
"cond.101","cond","variable:Microbe_treatment","(Intercept)","ASV0008:ECO",-0.431675235575257,1.79592004865681
"cond.102","cond","variable:Microbe_treatment","(Intercept)","ASV0008:EMO",1.09823575014184,0.907230372626358
"cond.103","cond","variable:Microbe_treatment","(Intercept)","ASV0008:MEM",1.38163746839139,0.904286998080997
"cond.104","cond","variable:Microbe_treatment","(Intercept)","ASV0008:MMO",0.252472965068432,1.0779461364708
"cond.105","cond","variable:Microbe_treatment","(Intercept)","ASV0009:ALL",0.779073775695138,0.915037196321574
"cond.106","cond","variable:Microbe_treatment","(Intercept)","ASV0009:ECO",-0.46492907150511,1.77880785330157
"cond.107","cond","variable:Microbe_treatment","(Intercept)","ASV0009:EMO",0.336680383441597,0.916893248505375
"cond.108","cond","variable:Microbe_treatment","(Intercept)","ASV0009:MEM",0.406305070264257,0.915572500689352
"cond.109","cond","variable:Microbe_treatment","(Intercept)","ASV0009:MMO",4.35852013745562,0.950626907745724
"cond.110","cond","variable:Microbe_treatment","(Intercept)","ASV0010:ALL",1.94045645852137,0.940459756173948
"cond.111","cond","variable:Microbe_treatment","(Intercept)","ASV0010:ECO",-0.228267449115483,1.92141945047399
"cond.112","cond","variable:Microbe_treatment","(Intercept)","ASV0010:EMO",1.7010953912222,0.941196247494464
"cond.113","cond","variable:Microbe_treatment","(Intercept)","ASV0010:MEM",1.68045504547345,0.940331595361324
"cond.114","cond","variable:Microbe_treatment","(Intercept)","ASV0010:MMO",-1.39616749981163,1.47695277865504
"cond.115","cond","variable:Microbe_treatment","(Intercept)","ASV0011:ALL",1.10789642295465,0.940553814298534
"cond.116","cond","variable:Microbe_treatment","(Intercept)","ASV0011:ECO",-0.30021922974137,1.8730624657294
"cond.117","cond","variable:Microbe_treatment","(Intercept)","ASV0011:EMO",1.98448552757877,0.930071917577383
"cond.118","cond","variable:Microbe_treatment","(Intercept)","ASV0011:MEM",2.00601083566278,0.928908058712207
"cond.119","cond","variable:Microbe_treatment","(Intercept)","ASV0011:MMO",-1.57755548048568,1.44087357595502
"cond.120","cond","variable:Microbe_treatment","(Intercept)","ASV0012:ALL",0.340368983686897,0.923481865201322
"cond.121","cond","variable:Microbe_treatment","(Intercept)","ASV0012:ECO",-0.375097991132799,1.82723258989222
"cond.122","cond","variable:Microbe_treatment","(Intercept)","ASV0012:EMO",0.889960627115833,0.916280703871908
"cond.123","cond","variable:Microbe_treatment","(Intercept)","ASV0012:MEM",0.936864499845664,0.913202800503399
"cond.124","cond","variable:Microbe_treatment","(Intercept)","ASV0012:MMO",2.87412565262913,0.984933843647777
"cond.125","cond","variable:Microbe_treatment","(Intercept)","ASV0015:ALL",0.7251097399064,0.978763904328245
"cond.126","cond","variable:Microbe_treatment","(Intercept)","ASV0015:ECO",-0.0982345866494104,2.02412098674566
"cond.127","cond","variable:Microbe_treatment","(Intercept)","ASV0015:EMO",1.43237374222312,0.967073201608532
"cond.128","cond","variable:Microbe_treatment","(Intercept)","ASV0015:MEM",0.488595748184093,0.977221229568601
"cond.129","cond","variable:Microbe_treatment","(Intercept)","ASV0015:MMO",-0.873326652038131,1.61238530188128
"cond.130","cond","variable:Microbe_treatment","(Intercept)","ASV0016:ALL",1.02326027592941,0.955576815004876
"cond.131","cond","variable:Microbe_treatment","(Intercept)","ASV0016:ECO",-0.184568824090311,1.95348321840045
"cond.132","cond","variable:Microbe_treatment","(Intercept)","ASV0016:EMO",1.73800856319006,0.945255696635207
"cond.133","cond","variable:Microbe_treatment","(Intercept)","ASV0016:MEM",1.86153932337125,0.944104250853658
"cond.134","cond","variable:Microbe_treatment","(Intercept)","ASV0016:MMO",-1.24678511602324,1.50966631289028
"cond.135","cond","variable:Microbe_treatment","(Intercept)","ASV0017:ALL",-0.0324862200790491,0.965990982834887
"cond.136","cond","variable:Microbe_treatment","(Intercept)","ASV0017:ECO",-0.219343635913999,1.92771421798375
"cond.137","cond","variable:Microbe_treatment","(Intercept)","ASV0017:EMO",-0.372784774350448,0.970650469514289
"cond.138","cond","variable:Microbe_treatment","(Intercept)","ASV0017:MEM",-0.219325528569965,0.966449243217844
"cond.139","cond","variable:Microbe_treatment","(Intercept)","ASV0017:MMO",0.7298590032667,1.09799418762307
"cond.140","cond","variable:Microbe_treatment","(Intercept)","ASV0018:ALL",-3.01549419432761,1.26234605402937
"cond.141","cond","variable:Microbe_treatment","(Intercept)","ASV0018:ECO",6.43239569705429,1.0539453341323
"cond.142","cond","variable:Microbe_treatment","(Intercept)","ASV0018:EMO",-3.04667208500117,1.25840039447249
"cond.143","cond","variable:Microbe_treatment","(Intercept)","ASV0018:MEM",-3.10218051464687,1.2548937587366
"cond.144","cond","variable:Microbe_treatment","(Intercept)","ASV0018:MMO",3.24254341726513,0.983073085648927
"cond.145","cond","variable:Microbe_treatment","(Intercept)","ASV0020:ALL",0.290539728117615,0.986873654292322
"cond.146","cond","variable:Microbe_treatment","(Intercept)","ASV0020:ECO",-0.133675290170188,1.99385591721556
"cond.147","cond","variable:Microbe_treatment","(Intercept)","ASV0020:EMO",1.61598899282307,0.953609251526898
"cond.148","cond","variable:Microbe_treatment","(Intercept)","ASV0020:MEM",1.44062617013447,0.955075610442722
"cond.149","cond","variable:Microbe_treatment","(Intercept)","ASV0020:MMO",-1.06262604438414,1.55622114545757
"cond.150","cond","variable:Microbe_treatment","(Intercept)","ASV0021:ALL",-0.179927911379481,1.06340893192033
"cond.151","cond","variable:Microbe_treatment","(Intercept)","ASV0021:ECO",-0.0696563087166159,2.05001899184268
"cond.152","cond","variable:Microbe_treatment","(Intercept)","ASV0021:EMO",-0.135501830908804,1.04272018271445
"cond.153","cond","variable:Microbe_treatment","(Intercept)","ASV0021:MEM",-0.273774061747134,1.04505715393775
"cond.154","cond","variable:Microbe_treatment","(Intercept)","ASV0021:MMO",-0.735074475215944,1.66461849369623
"cond.155","cond","variable:Microbe_treatment","(Intercept)","ASV0022:ALL",0.965605662117925,0.96463639441554
"cond.156","cond","variable:Microbe_treatment","(Intercept)","ASV0022:ECO",-0.125837848300912,2.00038268391904
"cond.157","cond","variable:Microbe_treatment","(Intercept)","ASV0022:EMO",1.4000122760748,0.956995152172896
"cond.158","cond","variable:Microbe_treatment","(Intercept)","ASV0022:MEM",1.08074838433649,0.959423881850668
"cond.159","cond","variable:Microbe_treatment","(Intercept)","ASV0022:MMO",-1.01986696013096,1.56785173332204
"cond.160","cond","variable:Microbe_treatment","(Intercept)","ASV0023:ALL",1.38411148372785,0.964143350744529
"cond.161","cond","variable:Microbe_treatment","(Intercept)","ASV0023:ECO",-0.193989944709303,1.94660300714972
"cond.162","cond","variable:Microbe_treatment","(Intercept)","ASV0023:EMO",-0.960940645549016,1.01257361162809
"cond.163","cond","variable:Microbe_treatment","(Intercept)","ASV0023:MEM",0.364737595989489,0.978739181299684
"cond.164","cond","variable:Microbe_treatment","(Intercept)","ASV0023:MMO",-1.30847027435153,1.49989606403513
"cond.165","cond","variable:Microbe_treatment","(Intercept)","ASV0024:ALL",1.45256017302577,0.956139311110645
"cond.166","cond","variable:Microbe_treatment","(Intercept)","ASV0024:ECO",-0.147308104708866,1.98270203445169
"cond.167","cond","variable:Microbe_treatment","(Intercept)","ASV0024:EMO",1.29502369750414,0.955116581880045
"cond.168","cond","variable:Microbe_treatment","(Intercept)","ASV0024:MEM",0.972694379561949,0.957904116428455
"cond.169","cond","variable:Microbe_treatment","(Intercept)","ASV0024:MMO",-1.09606085462114,1.54707869787544
"cond.170","cond","variable:Microbe_treatment","(Intercept)","ASV0025:ALL",0.382662666276598,0.985540371468451
"cond.171","cond","variable:Microbe_treatment","(Intercept)","ASV0025:ECO",-0.18079971689162,1.95658274917076
"cond.172","cond","variable:Microbe_treatment","(Intercept)","ASV0025:EMO",0.337748475719281,0.984050304426749
"cond.173","cond","variable:Microbe_treatment","(Intercept)","ASV0025:MEM",0.0844021954741559,0.98824951248026
"cond.174","cond","variable:Microbe_treatment","(Intercept)","ASV0025:MMO",-1.26139869006213,1.51080186086957
"cond.175","cond","variable:Microbe_treatment","(Intercept)","ASV0027:ALL",0.117943245786991,0.967533259778722
"cond.176","cond","variable:Microbe_treatment","(Intercept)","ASV0027:ECO",-0.138493758989507,1.98977353029375
"cond.177","cond","variable:Microbe_treatment","(Intercept)","ASV0027:EMO",-3.44013154024349,1.23852399531726
"cond.178","cond","variable:Microbe_treatment","(Intercept)","ASV0027:MEM",-0.0729635770034283,0.967587990284978
"cond.179","cond","variable:Microbe_treatment","(Intercept)","ASV0027:MMO",4.38707106039598,0.97196522253023
"cond.180","cond","variable:Microbe_treatment","(Intercept)","ASV0033:ALL",0.0739706507504028,1.07509684792977
"cond.181","cond","variable:Microbe_treatment","(Intercept)","ASV0033:ECO",-0.0316261222607868,2.08650215070723
"cond.182","cond","variable:Microbe_treatment","(Intercept)","ASV0033:EMO",0.36292026363438,1.05064563958528
"cond.183","cond","variable:Microbe_treatment","(Intercept)","ASV0033:MEM",-1.27155784124013,1.17447505611868
"cond.184","cond","variable:Microbe_treatment","(Intercept)","ASV0033:MMO",-0.431037224825147,1.79755301226721
"cond.185","cond","variable:Microbe_treatment","(Intercept)","ASV0036:ALL",1.11010202862901,0.989564015554861
"cond.186","cond","variable:Microbe_treatment","(Intercept)","ASV0036:ECO",-0.0702733141712617,2.04938087891201
"cond.187","cond","variable:Microbe_treatment","(Intercept)","ASV0036:EMO",-0.126433179961709,1.01357005936732
"cond.188","cond","variable:Microbe_treatment","(Intercept)","ASV0036:MEM",0.5310612344899,0.994702162961999
"cond.189","cond","variable:Microbe_treatment","(Intercept)","ASV0036:MMO",-0.731492471682793,1.66232271742124
"cond.190","cond","variable:Microbe_treatment","(Intercept)","ASV0037:ALL",0.00482225569949928,1.02514653521826
"cond.191","cond","variable:Microbe_treatment","(Intercept)","ASV0037:ECO",-0.0507781620018368,2.06773052662463
"cond.192","cond","variable:Microbe_treatment","(Intercept)","ASV0037:EMO",-1.59726781707612,1.12629931485017
"cond.193","cond","variable:Microbe_treatment","(Intercept)","ASV0037:MEM",-1.1607311934163,1.06123923791661
"cond.194","cond","variable:Microbe_treatment","(Intercept)","ASV0037:MMO",3.15372576879019,1.03946489896939
"cond.195","cond","variable:Microbe_treatment","(Intercept)","ASV0039:ALL",0.65562096304895,0.962729108808507
"cond.196","cond","variable:Microbe_treatment","(Intercept)","ASV0039:ECO",-0.196067694603672,1.94488511018136
"cond.197","cond","variable:Microbe_treatment","(Intercept)","ASV0039:EMO",0.416827276120018,0.963604391385933
"cond.198","cond","variable:Microbe_treatment","(Intercept)","ASV0039:MEM",0.648598029569268,0.959423276705312
