Short_label,Longer_name,Sample_type,Num_larvae,Date_collected,Exp_day,Mesocosm_id,Mesocosm_treatment,Microbe_treatment,Food_type,Mesocosm_type,Treatment_notes,Num_larvae_d00,Num_larvae_d08,Num_larvae_d34,Num_larvae_d40,Total_pupae,Proportion_pupated,Biomass_day30,Biomass_day40,16S_raw_reads,SSU_raw_reads,metagenomes,MG_raw_reads,Notes
M1,M_D0_Microbe_stock_ecoli,Microbe Stock,,6/22/23,0,Microbe_stock_ecoli,Microbe_stock_ecoli,E. coli,Microbe stock,Microbe stock,E. coli stock,,,,,,,,,63554,,no,NA,
M2,M_D0_Microbe_stock_mosq,Microbe Stock,,6/22/23,0,Microbe_stock_mosq,Microbe_stock_mosq,Mosquito microbes,Microbe stock,Microbe stock,Mosquito microbes stock,,,,,,,,,31740,,no,NA,
M3,M_D0_Microbe_stock_brom,Microbe Stock,,6/22/23,0,Microbe_stock_brom,Microbe_stock_brom,Env. microbes,Microbe stock,Microbe stock,Environmental microbes stock,,,,,,,,,62671,,no,NA,
WB5,W_D5_B_AHK.1,Water,,6/27/23,5,B_AHK.1,B_AHK,AHK,Bamboo,Experiment,All heat-killed microbes,20,14,11,4,0,0,0,0,91658,,no,NA,
WB3,W_D5_B_AHK+,Water,,6/27/23,5,B_AHK+,B_AHK+,AHK,Bamboo,Additional control,No larvae - all heat-killed microbes,,,,,,,,,9849,,no,NA,
WB31,W_D5_B_ALL.1,Water,,6/27/23,5,B_ALL.1,B_ALL,ALL,Bamboo,Experiment,All live microbes,20,11,0,0,12,0.6,4.096,4.096,210029,,no,NA,
WB32,W_D5_B_ALL.2,Water,,6/27/23,5,B_ALL.2,B_ALL,ALL,Bamboo,Experiment,All live microbes,20,18,4,4,0,0,0,0,266325,,no,NA,
WB33,W_D5_B_ALL.3,Water,,6/27/23,5,B_ALL.3,B_ALL,ALL,Bamboo,Experiment,All live microbes,20,10,0,0,9,0.45,3.642,3.642,332097,,no,NA,
WB34,W_D5_B_ALL.4,Water,,6/27/23,5,B_ALL.4,B_ALL,ALL,Bamboo,Experiment,All live microbes,20,16,2,2,2,0.1,0.13,0.299,238232,,no,NA,
WB35,W_D5_B_ALL.5,Water,,6/27/23,5,B_ALL.5,B_ALL,ALL,Bamboo,Experiment,All live microbes,20,13,0,0,13,0.65,3.369,3.369,162232,,no,NA,
